key	en_us	zh_cn	zh_tw	zh_hk	ja_jp
selectWorld.gameMode.adventure.line1	Same as Survival Mode, but blocks can't	与生存模式相同，但无法	與生存模式相同，但無法	與生存模式相同，惟無法	サバイバルと同じですが、ブロックを
selectWorld.gameMode.adventure.line2	be added or removed	放置或破坏方块	增加或移除方塊	放置或移除方塊	置いたり破壊することはできません
selectWorld.gameMode.creative	Creative	创造	創造	創造	クリエイティブ
selectWorld.gameMode.creative.info	Create, build, and explore without limits. You can fly, have endless materials, and can't be hurt by monsters.	无拘无束地探索创造。可以飞行，材料取之不尽，且不受怪物伤害。	沒有限制地創造、建設與探索。你能夠飛行，使用無窮的材料，也不會被怪物傷害。	無所拘束地創造同探索。可以隨心飛行，享受無窮材料，而且不會被怪物傷害。	制限なしに建築や創造、冒険をしましょう。飛行が可能で、アイテムは無制限に使用でき、モンスターからのダメージも受けません。
selectWorld.gameMode.creative.line1	Unlimited resources, free flying and	无限的资源、自由地飞翔	無限資源、自由飛行，	無限資源、自由飛行，	アイテムが無制限、飛行可能で、
selectWorld.gameMode.creative.line2	destroy blocks instantly	并且能够瞬间破坏方块	而且能夠瞬間破壞方塊	而且可以瞬間破壞方塊	ブロックを瞬時に破壊できる
selectWorld.gameMode.hardcore	Hardcore	极限	極限	極限	ハードコア
selectWorld.gameMode.hardcore.info	Survival Mode locked to 'Hard' difficulty. You can't respawn if you die.	难度锁定为“困难”的生存模式，且死亡后无法重生。	難易度鎖定在「困難」的生存模式。死亡後無法重生。	難度鎖定為「困難」的生存模式。死亡後無法重生。	難易度が「ハード」に固定されたサバイバルモードです。一度でも死亡するとリスポーンすることはできません。
selectWorld.gameMode.hardcore.line1	Same as Survival Mode, locked at hardest	难度锁定在困难的生存模式	與生存模式相同，但是鎖定在	與生存模式相同，惟難度鎖定為	サバイバルモードと同じですが、最高難易度に固定
selectWorld.gameMode.hardcore.line2	difficulty, and one life only	且只有一条生命	最高難度，而且只有一次生命	最高難度，並且僅有一次生命	されていて、命はたったひとつだけ
selectWorld.gameMode.spectator	Spectator	旁观	旁觀者	旁觀	スペクテイター
selectWorld.gameMode.spectator.info	You can look but don't touch.	你可以旁观，但不能互动。	你可以觀看但是不能夠觸碰。	你可以旁觀，惟無法交互。	鑑賞可能、干渉不可。
selectWorld.gameMode.spectator.line1	You can look but don't touch	你可以旁观，但不能互动	你可以觀看但是不可觸摸	你可以旁觀，惟無法交互	鑑賞可能、干渉不可
selectWorld.gameMode.spectator.line2					
selectWorld.gameMode.survival	Survival	生存	生存	生存	サバイバル
selectWorld.gameMode.survival.info	Explore a mysterious world where you build, collect, craft, and fight monsters.	探索未知的世界，尽情建造、收集、合成并与怪物战斗。	探索神秘的世界，盡情建造、收集、合成，並與怪物戰鬥。	探索未知世界，盡情建造、收集、合成、並與怪物戰鬥。	神秘的なワールドを冒険し、建築、採集、クラフト、モンスターとの戦闘を体験しましょう。
selectWorld.gameMode.survival.line1	Search for resources, craft, gain	探索世界、收集资源、合成道具、	搜索資源、合成、提升	搜尋資源、製作、提升	資材を探し、道具を作り、レベルを
selectWorld.gameMode.survival.line2	levels, health and hunger	提高等级、补充体力和生命值	等級、生命值和飢餓值	等級、生命值與饑餓值	貯める必要があり、体力、空腹の要素がある
selectWorld.gameRules	Game Rules	游戏规则	遊戲規則	遊戲規則	ゲームルール
selectWorld.import_worldgen_settings	Import Settings	导入设置	匯入設定	匯入設定	設定を読み込む
selectWorld.import_worldgen_settings.failure	Error importing settings	导入设置时出错	匯入設定時發生錯誤	匯入設定時發生錯誤	設定の読み込み中にエラーが発生しました
selectWorld.import_worldgen_settings.select_file	Select settings file (.json)	选择设置文件（.json）	選擇設定檔 (.json)	選擇設定檔（.json）	設定ファイルを選択（.json）
selectWorld.incompatible_series	Created by an incompatible version	创建于不兼容的版本	以不相容的版本建立	建立於不相容的版本	互換性のないバージョンで作成されています
selectWorld.incompatible.description	This world cannot be opened in this version.
It was last played in version %s.	此世界无法在此版本中打开。
最后一次打开此世界的版本是%s。	這個世界無法在此版本中開啟。
上次於版本 %s 開啟。	此世界無法於此版本打開。
最後一次遊玩的版本為 %s。	このワールドはこのバージョンでは開けません。
このワールドを最後にプレイしたバージョンは%sです。
selectWorld.incompatible.info	Incompatible version: %s	不兼容的版本：%s	不相容的版本：%s	不相容的版本：%s	互換性のないバージョン：%s
selectWorld.incompatible.title	Incompatible version	版本不兼容	版本不相容	版本不相容	互換性のないバージョン
selectWorld.incompatible.tooltip	This world cannot be opened because it was created by an incompatible version.	此世界在不兼容的版本上创建，故无法打开。	這個世界使用不相容的版本建立，無法開啟。	此世界於不相容的版本上建立，因此無法打開。	このワールドは互換性のないバージョンで作成されているため開くことができません。
selectWorld.load_folder_access	Unable to read or access folder where game worlds are saved!	无法读取或访问游戏世界存档所在的文件夹！	無法讀取或存取遊戲世界存檔所在的資料夾！	無法載入或存取遊戲世界存檔所在的文件夾！	ワールドのフォルダーの読み込みまたは書き込みができないため、セーブできません！
selectWorld.loading_list	Loading World List	加载世界列表中	正在載入世界清單	正在載入世界列表	ワールド一覧を読み込み中
selectWorld.locked	Locked by another running instance of Minecraft.	被另一个正在运行的Minecraft实例锁定。	被另一個正在執行的 Minecraft 鎖定。	被另一個開啟的 Minecraft 程式鎖定	他のウィンドウでこのワールドが開かれているため、ロックされています。
selectWorld.mapFeatures	Generate Structures	生成结构	生成結構	生成結構	構造物の生成
selectWorld.mapFeatures.info	Villages, Shipwrecks, etc.	村庄、沉船等	例如村莊、沉船等等	村莊、沉船之類	村、難破船など
selectWorld.mapType	World Type	世界类型	世界類型	世界類型	ワールドタイプ
selectWorld.mapType.normal	Normal	普通	正常	普通	ノーマル
selectWorld.moreWorldOptions	More World Options...	更多世界选项…	更多世界選項...	更多世界選項⋯⋯	その他のワールド設定…
selectWorld.newWorld	New World	新的世界	新的世界	新的世界	新規ワールド
selectWorld.recreate	Re-Create	重建	重新建立	重新建立	再生成
selectWorld.recreate.customized.text	Customized worlds are no longer supported in this version of Minecraft. We can try to recreate it with the same seed and properties, but any terrain customizations will be lost. We're sorry for the inconvenience!	自定义世界在这个版本的Minecraft中已不受支持。我们可以尝试用同样的种子与选项重建它，但任何自定义的地形都会丢失。抱歉给你带来不便。	這個版本的 Minecraft 已不再支援自訂世界。我們可以試著利用相同的種子碼與屬性重新建立，但任何自訂地形將會遺失。很抱歉為您帶來不便！	此 Minecraft 版本不再支援自訂世界。你可嘗試利用相同的種子碼與屬性重新建立該世界，惟所有自訂地形均會遺失。不便之處敬請諒解！	Minecraftの現在のバージョンはカスタマイズワールドをサポートしていません。このワールドと同じシード値とプロパティで再生成できますが、地形のカスタマイズは失われます。ご不便をおかけし申し訳ございません。
selectWorld.recreate.customized.title	Customized worlds are no longer supported	自定义世界已不受支持	自訂世界已不受支援	自訂世界已不再受支援	カスタマイズワールドはサポートされていません
selectWorld.recreate.error.text	Something went wrong while trying to recreate a world.	尝试重建世界时出错。	試圖重新建立世界時出現了一些問題。	試圖重新建立世界時出現問題。	ワールドの再生成に失敗しました。
selectWorld.recreate.error.title	An error occurred!	出错了！	發生錯誤！	發生錯誤！	エラーが発生しました！
selectWorld.requiresFileFixingTooltip.edit	This world needs to be upgraded to the latest version before you can edit it due to underlying changes to the world format.	由于世界格式的底层更改，此世界需要升级到最新版本才能编辑。	由於世界格式的底層更動，這個世界需要升級至最新版本才可編輯。	由於世界格式的底層變更，此世界須升級至最新版本方可編輯。	ワールドのフォーマットに根本的な変更があったため、このワールドを編集するには最新のバージョンにアップグレードする必要があります。
selectWorld.requiresFileFixingTooltip.play	This world needs to be upgraded to the latest version before you can play it due to underlying changes to the world format.	由于世界格式的底层更改，此世界需要升级到最新版本才能打开。	由於世界格式的底層更動，這個世界需要升級至最新版本才可遊玩。	由於世界格式的底層變更，此世界須升級至最新版本方可遊玩。	ワールドのフォーマットに根本的な変更があったため、このワールドをプレイするには最新のバージョンにアップグレードする必要があります。
selectWorld.requiresFileFixingTooltip.recreate	This world needs to be upgraded to the latest version before you can recreate it due to underlying changes to the world format.	由于世界格式的底层更改，此世界需要升级到最新版本才能重建。	由於世界格式的底層更動，這個世界需要升級至最新版本才可重新建立。	由於世界格式的底層變更，此世界須升級至最新版本方可重新建立。	ワールドのフォーマットに根本的な変更があったため、このワールドを再生成するには最新のバージョンにアップグレードする必要があります。
selectWorld.resource_load	Preparing Resources...	准备资源中…	正在準備資源...	正在準備資源⋯⋯	リソースを準備中…
selectWorld.resultFolder	Will be saved in:	将会保存于：	將被儲存於：	將會被儲存到：	保存先：
selectWorld.search	search for worlds	搜索世界	搜尋世界	搜尋世界	ワールドの検索
selectWorld.seedInfo	Leave blank for a random seed	留空以生成随机种子	若不填則隨機生成種子碼	留空則生成隨機種子碼	空白でランダムシード値
selectWorld.select	Play Selected World	进入选中的世界	進入所選的世界	進入所選世界	選択したワールドで遊ぶ
selectWorld.targetFolder	Save folder: %s	存档文件夹：%s	存檔資料夾：%s	存檔文件夾：%s	保存先：%s
selectWorld.title	Select World	选择世界	選擇世界	選擇世界	ワールドを選択
selectWorld.tooltip.fromNewerVersion1	World was saved in a newer version,	世界是在更新的版本中被保存的，	世界是以較新的版本儲存，	世界是以較新的版本儲存的，	このワールドは、現在より新しいバージョンで保存されています。
selectWorld.tooltip.fromNewerVersion2	and loading it could cause problems!	加载这个世界可能会产生问题！	載入這個世界可能會出現問題！	載入此世界可能會出現問題！	古いバージョンでこのワールドを読み込むと、データが破損する可能性があります。
selectWorld.tooltip.snapshot1	Don't forget to back up this world	在这个快照中加载它之前，	以目前版本載入之前	以目前版本載入之前	このワールドを読み込む前に
selectWorld.tooltip.snapshot2	before you load it in this snapshot.	不要忘了备份这个世界！	別忘了先備份這個世界。	記得先備份此世界。	バックアップを取ることを推奨します。
selectWorld.unable_to_load	Unable to load worlds	无法加载世界	無法載入世界	無法載入世界	ワールドを読み込めません
selectWorld.upgrade_and_play	Upgrade and Play	升级并打开世界	升級並遊玩	升級並遊玩	アップグレードしてプレイ
selectWorld.version	Version:	版本：	版本：	版本：	バージョン：
selectWorld.versionJoinButton	Load Anyway	仍然加载	依然載入	堅持載入	構わず読み込む
selectWorld.versionQuestion	Do you really want to load this world?	你真的想加载此世界吗？	你確定要載入這個世界嗎？	你確定要載入所選世界？	このワールドを読み込みますか？
selectWorld.versionUnknown	unknown	未知	未知	未知	不明
selectWorld.versionWarning	This world was last played in version %s and loading it in this version could cause corruption!	此世界上次是在%s版本中打开的，在此版本中加载可能会导致数据损坏！	這個世界最後遊玩的版本為 %s，使用目前版本載入可能會導致損壞！	此世界最後遊玩版本為 %s，使用目前版本載入可能會導致損壞！	このワールドが最後にプレイされたのはバージョン%sです。現在のバージョンでワールドを読み込むとデータが破損する可能性があります。
selectWorld.waitingForBackup.message	Depending on the size of your world, this may take a while. Please do not close the game or shut off your device.	此过程可能需要一些时间，具体取决于世界大小。请勿关闭游戏或设备。	視世界大小而定，這可能需要一點時間。請勿關閉遊戲或裝置電源。	等待時間視乎世界大小而定，或將需要一段時間。請勿關閉遊戲或裝置電源。	ワールドのサイズによっては、この処理には少し時間がかかる場合があります。ゲームを閉じたり、デバイスの電源を切ったりしないでください。
selectWorld.waitingForBackup.title	Creating Backup	创建备份中	正在建立備份	正在建立備份	バックアップを作成中
selectWorld.warning.deprecated.question	Some features used are deprecated and will stop working in the future. Do you wish to proceed?	一些使用中的功能已被淘汰并会在将来失效。你确定要继续吗？	有些功能已停止支援，將在未來失效。您確定要繼續嗎？	部分功能已淘汰，並將於未來失效。你確定要繼續？	使用されている一部の要素は、将来廃止される可能性があります。続行しますか？
selectWorld.warning.deprecated.title	Warning! These settings are using deprecated features	警告！这些设置使用了已淘汰的功能	警告！這些設定使用了停止支援的功能	警吿！設定使用已淘汰的功能	警告！これらの設定は将来廃止される可能性のある要素を使用しています
selectWorld.warning.experimental.question	These settings are experimental and could one day stop working. Do you wish to proceed?	这些设置是实验性的，将来可能停止运作。你确定要继续吗？	這些實驗性設定將來可能會失效。您確定要繼續嗎？	實驗性設定將來可能會失效。你確定要繼續？	これらの設定は実験的なものであり、いつか機能しなくなる可能性があります。続行しますか？
selectWorld.warning.experimental.title	Warning! These settings are using experimental features	警告！这些设置使用了实验性功能	警告！這些設定使用了實驗性功能	警吿！設定包含實驗性功能	警告！これらの設定は実験的な機能を使用しています。
selectWorld.warning.lowDiskSpace.description	There is not much space left on your device.
Running out of disk space while in game can lead to your world being damaged.	设备上的存储空间不足。
运行游戏时磁盘空间不足可能会导致世界损坏。	裝置儲存空間不足。
在磁碟空間不足時遊玩，可能會導致世界損毀。	裝置上的儲存空間不足。
磁碟空間不足時遊玩可能會導致世界損毀。	お使いのデバイスに十分な空き容量がありません。
ゲーム中にディスク容量を使い切ると、ワールドが破損するおそれがあります。
selectWorld.warning.lowDiskSpace.title	Warning! Low disk space!	警告！磁盘空间不足！	警告！磁碟空間不足！	警吿！磁碟空間不足！	警告！ディスクの空き容量が不足しています！
selectWorld.world	World	世界	世界	世界	ワールド
selectWorld.world_gen_settings_access	Unable to read or access the world gen settings file! %s	无法读取或访问世界生成设置文件！%s	無法讀取或存取世界生成設定檔！%s	無法讀取或存取世界生成設定檔！%s	ワールド生成設定ファイルの読み取りまたはアクセスに失敗しました！%s
sign.edit	Edit Sign Message	编辑告示牌消息	編輯告示牌文字	編輯指示牌訊息	看板の編集
sleep.not_possible	No amount of rest can pass this night	已入睡玩家的数量不足以跳过夜晚	入睡的玩家數目不足以跳過這個夜晚	已入睡的玩家數量未足以跳過夜晚	就寝しても夜を過ごすことはできません
sleep.players_sleeping	%s/%s players sleeping	%s/%s名玩家已入睡	%s/%s 的玩家正在睡覺	%s/%s 名玩家正在睡覺	%s／%s人のプレイヤーが就寝中
sleep.skipping_night	Sleeping through this night	今夜将在睡梦中度过	正在睡夢中度過今晚	正在睡夢中度過今晚	夜が過ごされます
slot.only_single_allowed	Only single slots allowed: got '%s'	只允许有单个槽位：实际为“%s”	僅接受單一欄位：當前值 '%s'	僅接受單一欄位，當前值「%s」	スロットは一つしか指定できませんが、「%s」が渡されました
slot.unknown	Unknown slot '%s'	未知的槽位“%s”	未知的欄位 '%s'	未知欄位「%s」	「%s」は不明なスロットです
snbt.parser.empty_key	Key cannot be empty	键不能为空	鍵值不能為空	鍵值不應為空	キーは空にできません
snbt.parser.expected_binary_numeral	Expected a binary number	应为二进制数	應為二進位數字	應為二進位數	2進数が必要です
snbt.parser.expected_decimal_numeral	Expected a decimal number	应为十进制数	應為十進位數字	應為十進位數	10進数が必要です
snbt.parser.expected_float_type	Expected a floating point number	应为浮点数	應為浮點數	應為浮點數	浮動小数点数が必要です
snbt.parser.expected_hex_escape	Expected a character literal of length %s	字符字面量长度应为%s	字元字面值長度應為 %s	字元字面變量長度應為 %s	長さ%sの文字リテラルが必要です
snbt.parser.expected_hex_numeral	Expected a hexadecimal number	应为十六进制数	應為十六進位數字	應為十六進位數	16進数が必要です
snbt.parser.expected_integer_type	Expected an integer number	应为整数	應為整數	應為整數	整数が必要です
snbt.parser.expected_non_negative_number	Expected a non-negative number	应为非负数	應為非負數	應為非負數	非負整数が必要です
snbt.parser.expected_number_or_boolean	Expected a number or a boolean	应为数字或布尔型	應為數字或布林值	應為數字或布爾值	数値かブーリアン値が必要です
snbt.parser.expected_string_uuid	Expected a string representing a valid UUID	应为表示有效UUID的字符串	應為表示有效 UUID 的字串	應為表示有效 UUID 字串	UUIDとしての文字列が必要です
snbt.parser.expected_unquoted_string	Expected a valid unquoted string	应为有效的无引号字符串	應為有效的無引號字串	應為有效無引號字串	有効な引用符無しの文字列が必要です
snbt.parser.infinity_not_allowed	Non-finite numbers are not allowed	不允许使用非有限数的数值	不允許使用非有限數的數值	不允許使用非有限數之數值	無限数は使用できません
snbt.parser.invalid_array_element_type	Invalid array element type	无效的数组元素类型	無效的陣列元素類型	無效陣列元素類型	無効な配列の要素の型です
snbt.parser.invalid_character_name	Invalid Unicode character name	无效的Unicode字符名称	無效的 Unicode 字元名稱	無效 Unicode 字元名稱	無効なUnicode文字名です
snbt.parser.invalid_codepoint	Invalid Unicode character value: %s	无效的Unicode字符码位：%s	無效的 Unicode 字元編碼：%s	無效 Unicode 字元碼：%s	無効なUnicode文字の値です：%s
snbt.parser.invalid_string_contents	Invalid string contents	无效的字符串内容	無效的字串內容	無效字串內容	無効な文字列の内容です
snbt.parser.invalid_unquoted_start	Unquoted strings can't start with digits 0-9, + or -	无引号字符串不能以数字0-9、+或-开头	無引號字串不能以數字 0-9、+ 或 - 開頭	無引號字串不應以數字 0-9、+ 或 - 開頭	引用符で囲まれていない文字列を数字0-9や+、-で始めることはできません
snbt.parser.leading_zero_not_allowed	Decimal numbers can't start with 0	十进制数不能以0开头	十進位數字不能以 0 開頭	十進位數字不應以 0 開頭	10進数を0から始めることはできません
snbt.parser.no_such_operation	No such operation: %s	不存在的操作：%s	不存在的操作：%s	不存在的操作：%s	次のような演算はありません：%s
snbt.parser.number_parse_failure	Failed to parse number: %s	解析数字失败：%s	無法剖析數字：%s	無法解析數字：%s	数値の解析に失敗しました：%s
snbt.parser.undescore_not_allowed	Underscore characters are not allowed at the start or end of a number	数字的开头和结尾不允许使用下划线字符	數字的開頭和結尾不允許使用底線字元	數字的開頭和結尾不得使用下劃線字元	数値の先頭や末尾にアンダーバーを付けることはできません
soundCategory.ambient	Ambient/Environment	环境	環境音效／環境	環境音效／環境	環境音
soundCategory.block	Blocks	方块	方塊	方塊	ブロック
soundCategory.hostile	Hostile Mobs	敌对生物	敵對生物	敵對生物	敵対的Mob
soundCategory.master	Master Volume	主音量	主音量	主音量	主音量
soundCategory.music	Music	音乐	音樂	音樂	BGM
soundCategory.neutral	Friendly Mobs	友好生物	友好生物	友好生物	友好的Mob
soundCategory.player	Players	玩家	玩家	玩家	プレイヤー
soundCategory.record	Jukebox/Note Blocks	唱片机/音符盒	唱片機／音階盒	唱片機／音符盒	ジュークボックス／音符ブロック
soundCategory.ui	UI	用户界面	UI	用户界面	UI
soundCategory.voice	Narrator/Voice	复述功能/语音	朗讀功能／語音	朗讀功能／語音	音声読み上げ／声
soundCategory.weather	Weather	天气	天氣	天氣	天候
spectatorMenu.close	Close Menu	关闭菜单	關閉選單	關閉選單	メニューを閉じる
spectatorMenu.next_page	Next Page	下一页	下一頁	下一頁	次のページへ
spectatorMenu.previous_page	Previous Page	上一页	上一頁	上一頁	前のページへ
spectatorMenu.root.prompt	Press a key to select a command, and again to use it.	按下任意键选择命令，再次按下使用该键。	按下任意鍵以選擇指令，再按一次該按鍵以使用它	按任意鍵選擇命令，再按一次此鍵以使用。	キーを押してコマンドを選択してください。もう一度押すことで使用することができます。
spectatorMenu.team_teleport	Teleport to Team Member	传送到队伍成员	傳送至隊伍成員	傳送到隊伍成員	チームメンバーにテレポート
spectatorMenu.team_teleport.prompt	Select a team to teleport to	选择一支队伍作为传送目标	選擇一個隊伍作為傳送目標	選擇一個隊伍作為傳送目標	テレポート先のチームを選択
spectatorMenu.teleport	Teleport to Player	传送到玩家	傳送至玩家	傳送至玩家	プレイヤーにテレポート
spectatorMenu.teleport.prompt	Select a player to teleport to	选择一名玩家作为传送目标	選擇一位玩家作為傳送目標	選擇一位玩家作為傳送目標	テレポート先のプレイヤーを選択
stat_type.minecraft.broken	Times Broken	损坏次数	損壞次數	損壞次數	破壊した回数
stat_type.minecraft.crafted	Times Crafted	合成次数	合成次數	合成次數	クラフトした回数
stat_type.minecraft.dropped	Dropped	丢弃个数	丟棄數量	拋棄數量	捨てた回数
stat_type.minecraft.killed	You killed %s %s	你杀死了%2$s%1$s次	你殺死過 %s 隻%s	你已殺死 %s 個 %s	%2$sを%1$s体倒しました
stat_type.minecraft.killed_by	%s killed you %s time(s)	%s杀死了你%s次	你被%s殺死過 %s 次	%s 殺死過你 %s 次	%sに%s回倒されました
stat_type.minecraft.killed_by.none	You have never been killed by %s	你从来没有被%s杀死过	你沒有被%s殺死過	你未被 %s 殺死過	まだ%sに倒されたことがありません
stat_type.minecraft.killed.none	You have never killed %s	你从来没有杀死过%s	你沒有殺死過%s	你未殺死過 %s	まだ%sを倒したことがありません
stat_type.minecraft.mined	Times Mined	开采次数	挖掘次數	挖掘次數	採取した回数
stat_type.minecraft.picked_up	Picked Up	拾起个数	拾起數量	拾起數量	拾った回数
stat_type.minecraft.used	Times Used	使用次数	使用次數	使用次數	使用した回数
stat.generalButton	General	通用	一般	通用	一般
stat.itemsButton	Items	物品	物品	物品	アイテム
stat.minecraft.animals_bred	Animals Bred	繁殖动物次数	動物繁殖數	動物繁殖次數	動物を繁殖させた回数
stat.minecraft.aviate_one_cm	Distance by Elytra	鞘翅滑行距离	鞘翅飛行距離	鞘翅飛行距離	エリトラで飛行した距離
stat.minecraft.bell_ring	Bells Rung	鸣钟次数	敲鐘次數	敲鐘次數	鐘を鳴らした回数
stat.minecraft.boat_one_cm	Distance by Boat	坐船移动距离	坐船航行距離	坐船航行距離	ボートで移動した距離
stat.minecraft.clean_armor	Armor Pieces Cleaned	清洗盔甲次数	清洗的盔甲數量	盔甲清洗次數	防具を脱色した回数
stat.minecraft.clean_banner	Banners Cleaned	清洗旗帜次数	清洗的旗幟數量	橫額清洗次數	旗を脱色した回数
stat.minecraft.clean_shulker_box	Shulker Boxes Cleaned	潜影盒清洗次数	界伏盒清洗次數	界伏盒清洗次數	シュルカーボックスを脱色した回数
stat.minecraft.climb_one_cm	Distance Climbed	攀爬距离	攀爬距離	攀爬距離	登った距離
stat.minecraft.crouch_one_cm	Distance Crouched	潜行距离	蹲行距離	潛行距離	スニークした距離
stat.minecraft.damage_absorbed	Damage Absorbed	吸收伤害量	吸收的傷害量	傷害吸收量	吸収されたダメージ
stat.minecraft.damage_blocked_by_shield	Damage Blocked by Shield	盾牌格挡伤害量	盾牌抵擋的傷害總量	盾牌抵擋傷害總量	盾で防いだダメージ
stat.minecraft.damage_dealt	Damage Dealt	造成伤害量	造成傷害總量	造成傷害總量	与えたダメージ
stat.minecraft.damage_dealt_absorbed	Damage Dealt (Absorbed)	造成伤害量（被吸收）	造成傷害（被吸收）	造成傷害總量（被吸收）	吸収したダメージ
stat.minecraft.damage_dealt_resisted	Damage Dealt (Resisted)	造成伤害量（被抵挡）	造成傷害（被抵銷）	造成傷害總量（被抵消）	防いだダメージ
stat.minecraft.damage_resisted	Damage Resisted	抵挡伤害量	抵銷的傷害量	傷害抵消量	防がれたダメージ
stat.minecraft.damage_taken	Damage Taken	承受伤害量	承受傷害總量	承受傷害總量	受けたダメージ
stat.minecraft.deaths	Number of Deaths	死亡次数	死亡次數	死亡次數	死んだ回数
stat.minecraft.drop	Items Dropped	丢弃物品次数	丟棄物品次數	拋棄物品次數	アイテムを捨てた回数
stat.minecraft.eat_cake_slice	Cake Slices Eaten	食用蛋糕片数	已吃掉的蛋糕片數量	蛋糕片食用數量	ケーキの一切れを食べた回数
stat.minecraft.enchant_item	Items Enchanted	物品附魔次数	物品附魔數量	物品附魔次數	アイテムをエンチャントした回数
stat.minecraft.fall_one_cm	Distance Fallen	摔落高度	掉落高度	跌落高度	落下した距離
stat.minecraft.fill_cauldron	Cauldrons Filled	炼药锅装水次数	鍋釜填滿次數	鍋填滿次數	大釜を満たした回数
stat.minecraft.fish_caught	Fish Caught	捕鱼数	捕獲魚量	捕獲魚數量	魚を釣った回数
stat.minecraft.fly_one_cm	Distance Flown	飞行距离	飛行距離	飛行距離	空中を移動した距離
stat.minecraft.happy_ghast_one_cm	Distance by Happy Ghast	骑乘快乐恶魂移动距离	騎快樂幽靈移動距離	快樂幽靈策騎距離	ハッピーガストで移動した距離
stat.minecraft.horse_one_cm	Distance by Horse	骑马移动距离	騎馬移動距離	馬策騎距離	ウマで移動した距離
stat.minecraft.inspect_dispenser	Dispensers Searched	搜查发射器次数	發射器搜索次數	發射器搜尋次數	ディスペンサーの中身を見た回数
stat.minecraft.inspect_dropper	Droppers Searched	搜查投掷器次数	投擲器搜索次數	投擲器搜尋次數	ドロッパーの中身を見た回数
stat.minecraft.inspect_hopper	Hoppers Searched	搜查漏斗次数	漏斗搜索次數	漏斗搜尋次數	ホッパーの中身を見た回数
stat.minecraft.interact_with_anvil	Interactions with Anvil	与铁砧交互次数	鐵砧使用次數	鐵砧使用次數	金床を使用した回数
stat.minecraft.interact_with_beacon	Interactions with Beacon	与信标交互次数	烽火台使用次數	燈標使用次數	ビーコンを使用した回数
stat.minecraft.interact_with_blast_furnace	Interactions with Blast Furnace	与高炉交互次数	高爐使用次數	高爐使用次數	溶鉱炉を使用した回数
stat.minecraft.interact_with_brewingstand	Interactions with Brewing Stand	与酿造台交互次数	釀造台使用次數	釀造台使用次數	醸造台を使用した回数
stat.minecraft.interact_with_campfire	Interactions with Campfire	与营火交互次数	營火使用次數	營火使用次數	焚き火を使用した回数
stat.minecraft.interact_with_cartography_table	Interactions with Cartography Table	与制图台交互次数	製圖台使用次數	製圖台使用次數	製図台を使用した回数
stat.minecraft.interact_with_crafting_table	Interactions with Crafting Table	与工作台交互次数	工作台使用次數	工作台使用次數	作業台を使用した回数
stat.minecraft.interact_with_furnace	Interactions with Furnace	与熔炉交互次数	熔爐使用次數	熔爐使用次數	かまどを使用した回数
stat.minecraft.interact_with_grindstone	Interactions with Grindstone	与砂轮交互次数	砂輪使用次數	砂輪使用次數	砥石を使用した回数
stat.minecraft.interact_with_lectern	Interactions with Lectern	与讲台交互次数	講台使用次數	講台使用次數	書見台を使用した回数
stat.minecraft.interact_with_loom	Interactions with Loom	与织布机交互次数	紡織機使用次數	織布機使用次數	機織り機を使用した回数
stat.minecraft.interact_with_smithing_table	Interactions with Smithing Table	与锻造台交互次数	鍛造台使用次數	鍛造台使用次數	鍛冶台を使用した回数
stat.minecraft.interact_with_smoker	Interactions with Smoker	与烟熏炉交互次数	煙燻爐使用次數	煙燻爐使用次數	燻製器を使用した回数
stat.minecraft.interact_with_stonecutter	Interactions with Stonecutter	与切石机交互次数	切石機使用次數	砂輪使用次數	石切台を使用した回数
stat.minecraft.jump	Jumps	跳跃次数	跳躍次數	跳躍次數	ジャンプした回数
stat.minecraft.leave_game	Games Quit	游戏退出次数	離開遊戲次數	離開遊戲次數	ゲームを終了した回数
stat.minecraft.minecart_one_cm	Distance by Minecart	坐矿车移动距离	乘坐礦車距離	乘搭礦車移動距離	トロッコで移動した距離
stat.minecraft.mob_kills	Mob Kills	生物击杀数	生物擊殺數	生物擊殺數量	Mobを倒した回数
stat.minecraft.nautilus_one_cm	Distance by Nautilus	骑鹦鹉螺移动距离	騎鸚鵡螺移動距離	鸚鵡螺策騎距離	オウムガイで移動した距離
stat.minecraft.open_barrel	Barrels Opened	木桶打开次数	木桶開啟次數	木桶打開次數	樽を開いた回数
stat.minecraft.open_chest	Chests Opened	箱子打开次数	儲物箱開啟次數	儲物箱打開次數	チェストを開いた回数
stat.minecraft.open_enderchest	Ender Chests Opened	末影箱打开次数	終界箱開啟次數	終界箱打開次數	エンダーチェストを開いた回数
stat.minecraft.open_shulker_box	Shulker Boxes Opened	潜影盒打开次数	界伏盒開啟次數	界伏盒打開次數	シュルカーボックスを開いた回数
stat.minecraft.pig_one_cm	Distance by Pig	骑猪移动距离	騎豬移動距離	豬策騎距離	ブタで移動した距離
stat.minecraft.play_noteblock	Note Blocks Played	音符盒播放次数	音階盒演奏次數	音符盒發聲次數	音符ブロックを鳴らした回数
stat.minecraft.play_record	Music Discs Played	播放唱片数	唱片播放	唱片播放次數	レコードを再生した回数
stat.minecraft.play_time	Time Played	游戏时长	遊戲時間	遊玩時間	プレイした時間
stat.minecraft.player_kills	Player Kills	玩家击杀数	玩家擊殺數	玩家擊殺數量	プレイヤーを倒した回数
